country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,10.3,11.6,10.9,9.88,8.65,7.38,7.96,8.22,8.38,8.97,8.68,
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,7.02,6.7,6.79,7.1,6.27,6.33,5.97,5.42,0,4.8,5.33,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,5.76,6.08,4.68,5.04,4.66,4.44,4.18,4.04,3.54
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,14.8,10.5,8.14,8.18,11.5,14.2,0,9.41,
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,21.1,25.8,4.25,13.5,13.6,0,0,0,0,0,8.19,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,4.01,8.27,8.11,0,0,0,8.77,
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,
Belgium,0,0,0,0,0,0,0,0,7.28,8.02,7.07,0,7.73,9.8,9.14,0,0,0,0,6.64,0,0,5.43,
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,
Brazil,0,0,0,0,0,0,0,0,0,0,0,6.76,6.54,5.73,6.65,7.07,6.64,6.98,6.71,7.25,6.84,1.87,0,
